rule_id,category_no,category,title,auditd_rule,audit_key,description,cis_ref,disa_stig_ref,acsc_ism_alignment,form
08-12,8,sudo and Privilege Escalation,Privileged Mount,"-a always,exit -F path=/usr/bin/mount -F perm=x -F auid>=1000 -F auid!=unset -k privileged-mount",privileged-mount,Selected privileged-command STIG rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-13,8,sudo and Privilege Escalation,Privileged Reboot,"-a always,exit -F path=/usr/sbin/reboot -F perm=x -F auid>=1000 -F auid!=unset -k privileged-reboot",privileged-reboot,Selected privileged-command STIG rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-14,8,sudo and Privilege Escalation,Privileged Shutdown,"-a always,exit -F path=/usr/sbin/shutdown -F perm=x -F auid>=1000 -F auid!=unset -k privileged-shutdown",privileged-shutdown,Selected privileged-command STIG rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-15,8,sudo and Privilege Escalation,Maybe Escalation,"-a always,exit -F arch=b32 -F path=/usr/bin/systemd-run -F perm=x -F auid!=unset -F key=maybe-escalation",maybe-escalation,Special escalation helpers from the STIG sample rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-16,8,sudo and Privilege Escalation,Maybe Escalation,"-a always,exit -F arch=b64 -F path=/usr/bin/systemd-run -F perm=x -F auid!=unset -F key=maybe-escalation",maybe-escalation,Special escalation helpers from the STIG sample rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-17,8,sudo and Privilege Escalation,Maybe Escalation,"-a always,exit -F arch=b32 -F path=/usr/bin/pkexec -F perm=x -F key=maybe-escalation",maybe-escalation,Special escalation helpers from the STIG sample rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
08-18,8,sudo and Privilege Escalation,Maybe Escalation,"-a always,exit -F arch=b64 -F path=/usr/bin/pkexec -F perm=x -F key=maybe-escalation",maybe-escalation,Special escalation helpers from the STIG sample rules,6.3.3.1 — sudoers scope changes; 6.3.3.3 — sudo log file changes.,RHEL-09-654145 — `/usr/bin/su`; RHEL-09-654150 — `/usr/bin/sudo`; RHEL-09-654215 — `/etc/sudoers`; RHEL-09-654010 — privileged execution/effective-ID mismatch.,"privileged access, administrative activity, accountability.",stig_canonical
09-01,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b64 -S setuid,setreuid,setresuid -k credential_change",credential_change,64-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
09-02,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b64 -S setgid,setregid,setresgid -k credential_change",credential_change,64-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
09-03,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b64 -S setfsuid,setfsgid -k credential_change",credential_change,64-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
09-04,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b32 -S setuid,setreuid,setresuid -k credential_change",credential_change,32-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
09-05,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b32 -S setgid,setregid,setresgid -k credential_change",credential_change,32-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
09-06,9,UID/GID and Credential Manipulation,Credential Change,"-a always,exit -F arch=b32 -S setfsuid,setfsgid -k credential_change",credential_change,32-bit,aligns with 6.3.3.2 when `execve` is used with `-C euid!=uid` to capture actions performed as another user.,,,code_block
10-01,10,Login and Session Tracking,Session,-w /var/run/utmp -p wa -k session,session,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
10-02,10,Login and Session Tracking,Session,-w /var/log/wtmp -p wa -k session,session,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
10-03,10,Login and Session Tracking,Session,-w /var/log/btmp -p wa -k session,session,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
10-04,10,Login and Session Tracking,Session,-w /var/log/lastlog -p wa -k session,session,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
10-05,10,Login and Session Tracking,Session,-w /var/log/faillog -p wa -k session,session,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
10-06,10,Login and Session Tracking,Logins,-w /var/run/faillock -p wa -k logins,logins,,6.3.3.11 — session initiation; 6.3.3.12 — login/logout events.,RHEL-09-654250 — `/var/log/faillock`; RHEL-09-654255 — `/var/log/lastlog`.,,code_block
11-01,11,Failed File Access,Access Denied,"-a always,exit -F arch=b64 -S open,openat,openat2,open_by_handle_at,creat,truncate,ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=unset -k access_denied",access_denied,64-bit,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,code_block
11-02,11,Failed File Access,Access Denied,"-a always,exit -F arch=b64 -S open,openat,openat2,open_by_handle_at,creat,truncate,ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=unset -k access_denied",access_denied,64-bit,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,code_block
11-03,11,Failed File Access,Access Denied,"-a always,exit -F arch=b32 -S open,openat,open_by_handle_at,creat,truncate,ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=unset -k access_denied",access_denied,32-bit,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,code_block
11-04,11,Failed File Access,Access Denied,"-a always,exit -F arch=b32 -S open,openat,open_by_handle_at,creat,truncate,ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=unset -k access_denied",access_denied,32-bit,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,code_block
11-05,11,Failed File Access,Access,"-a always,exit -F arch=b32 -S open,creat,truncate,ftruncate,openat,openat2,open_by_handle_at -F exit=-EACCES -F auid>=1000 -F auid!=unset -F key=access",access,,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,stig_canonical
11-06,11,Failed File Access,Access,"-a always,exit -F arch=b32 -S open,creat,truncate,ftruncate,openat,openat2,open_by_handle_at -F exit=-EPERM -F auid>=1000 -F auid!=unset -F key=access",access,,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,stig_canonical
11-07,11,Failed File Access,Access,"-a always,exit -F arch=b64 -S open,truncate,ftruncate,creat,openat,openat2,open_by_handle_at -F exit=-EACCES -F auid>=1000 -F auid!=unset -F key=access",access,,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,stig_canonical
11-08,11,Failed File Access,Access,"-a always,exit -F arch=b64 -S open,truncate,ftruncate,creat,openat,openat2,open_by_handle_at -F exit=-EPERM -F auid>=1000 -F auid!=unset -F key=access",access,,6.3.3.7 — unsuccessful file access attempts.,aligns with `30-stig.rules` failed-access auditing using EACCES/EPERM and key `access`.,,stig_canonical
12-01,12,File Deletion and Rename,File Delete,"-a always,exit -F arch=b64 -S rmdir,unlink,unlinkat,rename,renameat,renameat2 -F auid>=1000 -F auid!=unset -k file_delete",file_delete,CIS uses audit key `delete` for rename/unlink/rmdir deletion activity.,6.3.3.13 — file deletion events by users.,aligns with `30-stig.rules` delete/rename auditing using key `delete`.,,code_block
12-02,12,File Deletion and Rename,File Delete,"-a always,exit -F arch=b32 -S rmdir,unlink,unlinkat,rename,renameat -F auid>=1000 -F auid!=unset -k file_delete",file_delete,CIS uses audit key `delete` for rename/unlink/rmdir deletion activity.,6.3.3.13 — file deletion events by users.,aligns with `30-stig.rules` delete/rename auditing using key `delete`.,,code_block
12-03,12,File Deletion and Rename,Delete,"-a always,exit -F arch=b32 -S unlink,unlinkat,rename,renameat -F auid>=1000 -F auid!=unset -F key=delete",delete,,6.3.3.13 — file deletion events by users.,aligns with `30-stig.rules` delete/rename auditing using key `delete`.,,stig_canonical
12-04,12,File Deletion and Rename,Delete,"-a always,exit -F arch=b64 -S unlink,unlinkat,rename,renameat -F auid>=1000 -F auid!=unset -F key=delete",delete,,6.3.3.13 — file deletion events by users.,aligns with `30-stig.rules` delete/rename auditing using key `delete`.,,stig_canonical
13-01,13,Permission and Ownership Changes,Permissions,"-a always,exit -F arch=b64 -S chmod,fchmod,fchmodat -F auid>=1000 -F auid!=unset -k permissions",permissions,CIS uses audit key `perm_mod` for chmod/chown/xattr-related discretionary access-control changes.,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,code_block
13-02,13,Permission and Ownership Changes,Ownership,"-a always,exit -F arch=b64 -S chown,fchown,lchown,fchownat -F auid>=1000 -F auid!=unset -k ownership",ownership,CIS uses audit key `perm_mod` for chmod/chown/xattr-related discretionary access-control changes.,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,code_block
13-03,13,Permission and Ownership Changes,Permissions,"-a always,exit -F arch=b32 -S chmod,fchmod,fchmodat -F auid>=1000 -F auid!=unset -k permissions",permissions,CIS uses audit key `perm_mod` for chmod/chown/xattr-related discretionary access-control changes.,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,code_block
13-04,13,Permission and Ownership Changes,Ownership,"-a always,exit -F arch=b32 -S chown,fchown,lchown,fchownat -F auid>=1000 -F auid!=unset -k ownership",ownership,CIS uses audit key `perm_mod` for chmod/chown/xattr-related discretionary access-control changes.,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,code_block
13-05,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b32 -S chmod,fchmod,fchmodat,fchmodat2,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
13-06,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b64 -S chmod,fchmod,fchmodat,fchmodat2,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
13-07,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b32 -S lchown,fchown,chown,fchownat,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
13-08,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b64 -S chown,fchown,lchown,fchownat,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
13-09,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b32 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
13-10,13,Permission and Ownership Changes,Perm Mod,"-a always,exit -F arch=b64 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr,file_setattr -F auid>=1000 -F auid!=unset -F key=perm_mod",perm_mod,,6.3.3.9 — discretionary access control permission modification events.,aligns with `30-stig.rules` DAC permission modification auditing using key `perm_mod`.,,stig_canonical
14-01,14,Extended Attributes,Xattr,"-a always,exit -F arch=b64 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr -F auid>=1000 -F auid!=unset -k xattr",xattr,,,aligns with `30-stig.rules` extended-attribute DAC change auditing using key `perm_mod`.,,code_block
14-02,14,Extended Attributes,Xattr,"-a always,exit -F arch=b32 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr -F auid>=1000 -F auid!=unset -k xattr",xattr,,,aligns with `30-stig.rules` extended-attribute DAC change auditing using key `perm_mod`.,,code_block
14-03,14,Extended Attributes,Permissions,-w /usr/bin/chcon -p x -k permissions,permissions,Additional discretionary-access-control administration utilities,,aligns with `30-stig.rules` extended-attribute DAC change auditing using key `perm_mod`.,,code_block
14-04,14,Extended Attributes,Permissions,-w /usr/bin/setfacl -p x -k permissions,permissions,Additional discretionary-access-control administration utilities,,aligns with `30-stig.rules` extended-attribute DAC change auditing using key `perm_mod`.,,code_block
14-05,14,Extended Attributes,Permissions,-w /usr/bin/chacl -p x -k permissions,permissions,Additional discretionary-access-control administration utilities,,aligns with `30-stig.rules` extended-attribute DAC change auditing using key `perm_mod`.,,code_block
15-01,15,Linux Capabilities,Capabilities,"-a always,exit -F arch=b64 -S capset -k capabilities",capabilities,,,,,code_block
15-02,15,Linux Capabilities,Capabilities,"-a always,exit -F arch=b32 -S capset -k capabilities",capabilities,,,,,code_block
15-03,15,Linux Capabilities,Capabilities,-w /usr/sbin/setcap -p x -k capabilities,capabilities,Tools,,,,code_block
15-04,15,Linux Capabilities,Capabilities,-w /usr/sbin/getcap -p x -k capabilities,capabilities,Tools,,,,code_block
16-01,16,SUID/SGID and Privileged Execution,Privileged Exec,"-a always,exit -F arch=b64 -S execve -F euid=0 -F auid>=1000 -F auid!=unset -k privileged_exec",privileged_exec,,6.3.3.6 — ensure use of privileged commands is collected.,RHEL-09-654010 and `31-privileged.rules` — audit privileged/setuid command execution.,,code_block
16-02,16,SUID/SGID and Privileged Execution,Privileged,"-a always,exit -F path=/usr/bin/passwd -F perm=x -F auid>=1000 -F auid!=unset -k privileged",privileged,Example explicit rule,6.3.3.6 — ensure use of privileged commands is collected.,RHEL-09-654010 and `31-privileged.rules` — audit privileged/setuid command execution.,,code_block
17-01,17,Kernel Module Activity,Kernel Module,-w /usr/sbin/insmod -p x -k kernel_module,kernel_module,,"6.3.3.15–6.3.3.19 — additional common audit controls, including kernel module loading/unloading.",aligns with `30-stig.rules` module loading/unloading audit coverage.,,code_block
17-02,17,Kernel Module Activity,Kernel Module,-w /usr/sbin/rmmod -p x -k kernel_module,kernel_module,,"6.3.3.15–6.3.3.19 — additional common audit controls, including kernel module loading/unloading.",aligns with `30-stig.rules` module loading/unloading audit coverage.,,code_block
17-03,17,Kernel Module Activity,Kernel Module,-w /usr/sbin/modprobe -p x -k kernel_module,kernel_module,,"6.3.3.15–6.3.3.19 — additional common audit controls, including kernel module loading/unloading.",aligns with `30-stig.rules` module loading/unloading audit coverage.,,code_block
17-04,17,Kernel Module Activity,Kernel Module,"-a always,exit -F arch=b64 -S init_module,finit_module,delete_module -k kernel_module",kernel_module,Syscalls,"6.3.3.15–6.3.3.19 — additional common audit controls, including kernel module loading/unloading.",aligns with `30-stig.rules` module loading/unloading audit coverage.,,code_block
17-05,17,Kernel Module Activity,Kernel Module,"-a always,exit -F arch=b32 -S init_module,delete_module -k kernel_module",kernel_module,Syscalls,"6.3.3.15–6.3.3.19 — additional common audit controls, including kernel module loading/unloading.",aligns with `30-stig.rules` module loading/unloading audit coverage.,,code_block
18-01,18,Kernel Configuration,Kernel Config,-w /etc/sysctl.conf -p wa -k kernel_config,kernel_config,,,,,code_block
18-02,18,Kernel Configuration,Kernel Config,-w /etc/sysctl.d/ -p wa -k kernel_config,kernel_config,,,,,code_block
18-03,18,Kernel Configuration,Kernel Config,-w /usr/lib/sysctl.d/ -p wa -k kernel_config,kernel_config,,,,,code_block
18-04,18,Kernel Configuration,Kernel Config,-w /usr/sbin/sysctl -p x -k kernel_config,kernel_config,,,,,code_block
19-01,19,Bootloader Configuration,Boot Config,-w /boot/grub2/grub.cfg -p wa -k boot_config,boot_config,,,,,code_block
19-02,19,Bootloader Configuration,Boot Config,-w /etc/default/grub -p wa -k boot_config,boot_config,,,,,code_block
19-03,19,Bootloader Configuration,Boot Config,-w /boot/efi/EFI/redhat/grub.cfg -p wa -k boot_config,boot_config,UEFI example,,,,code_block
19-04,19,Bootloader Configuration,Boot Config,-w /usr/sbin/grub2-mkconfig -p x -k boot_config,boot_config,Monitor regeneration,,,,code_block
20-01,20,SELinux Security Controls,Selinux,-w /etc/selinux/ -p wa -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-02,20,SELinux Security Controls,Selinux,-w /etc/selinux/config -p wa -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-03,20,SELinux Security Controls,Selinux,-w /usr/share/selinux/ -p wa -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-04,20,SELinux Security Controls,Selinux,-w /usr/sbin/setenforce -p x -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-05,20,SELinux Security Controls,Selinux,-w /usr/sbin/semanage -p x -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-06,20,SELinux Security Controls,Selinux,-w /usr/sbin/semodule -p x -k selinux,selinux,CIS uses audit key `MAC-policy` and explicitly watches both `/etc/selinux` and `/usr/share/selinux`.,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,code_block
20-07,20,SELinux Security Controls,Mac Policy,"-a always,exit -F arch=b32 -F dir=/etc/selinux/ -F perm=wa -F key=MAC-policy",MAC-policy,,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,stig_canonical
20-08,20,SELinux Security Controls,Mac Policy,"-a always,exit -F arch=b64 -F dir=/etc/selinux/ -F perm=wa -F key=MAC-policy",MAC-policy,,6.3.3.14 — ensure events that modify Mandatory Access Controls are collected.,aligns with `30-stig.rules` MAC-policy auditing for `/etc/selinux/`.,,stig_canonical
21-01,21,Firewall Configuration,Firewall,-w /etc/firewalld/ -p wa -k firewall,firewall,Firewalld,,,,code_block
21-02,21,Firewall Configuration,Firewall,-w /usr/bin/firewall-cmd -p x -k firewall,firewall,Firewalld,,,,code_block
21-03,21,Firewall Configuration,Firewall,-w /usr/sbin/iptables -p x -k firewall,firewall,iptables,,,,code_block
21-04,21,Firewall Configuration,Firewall,-w /usr/sbin/ip6tables -p x -k firewall,firewall,iptables,,,,code_block
21-05,21,Firewall Configuration,Firewall,-w /usr/sbin/nft -p x -k firewall,firewall,nftables,,,,code_block
21-06,21,Firewall Configuration,Firewall,-w /etc/nftables/ -p wa -k firewall,firewall,nftables,,,,code_block
21-07,21,Firewall Configuration,Firewall,-w /etc/sysconfig/nftables.conf -p wa -k firewall,firewall,nftables,,,,code_block
22-01,22,Network Configuration,Network Config,-w /etc/NetworkManager/ -p wa -k network_config,network_config,,,,,code_block
22-02,22,Network Configuration,Dns Config,-w /etc/resolv.conf -p wa -k dns_config,dns_config,,,,,code_block
22-03,22,Network Configuration,Network Config,-w /etc/hosts -p wa -k network_config,network_config,,,,,code_block
22-04,22,Network Configuration,Network Config,-w /etc/host.conf -p wa -k network_config,network_config,,,,,code_block
22-05,22,Network Configuration,Network Admin,-w /usr/sbin/ip -p x -k network_admin,network_admin,,,,,code_block
22-06,22,Network Configuration,Network Admin,-w /usr/bin/nmcli -p x -k network_admin,network_admin,,,,,code_block
23-01,23,Route Manipulation,Route Change,-w /usr/sbin/ip -p x -k route_change,route_change,,,,,code_block
23-02,23,Route Manipulation,Route Change,-w /usr/bin/nmcli -p x -k route_change,route_change,,,,,code_block
24-01,24,Mounting Filesystems,Mounts,"-a always,exit -F arch=b64 -S mount,umount2 -F auid>=1000 -F auid!=unset -k mounts",mounts,CIS canonical control focuses on successful `mount` syscalls by interactive users; this catalogue additionally includes unmount visibility as a threat-detection enhancement.,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,code_block
24-02,24,Mounting Filesystems,Mounts,"-a always,exit -F arch=b32 -S mount,umount,umount2 -F auid>=1000 -F auid!=unset -k mounts",mounts,CIS canonical control focuses on successful `mount` syscalls by interactive users; this catalogue additionally includes unmount visibility as a threat-detection enhancement.,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,code_block
24-03,24,Mounting Filesystems,Mounts,-w /usr/bin/mount -p x -k mounts,mounts,CIS canonical control focuses on successful `mount` syscalls by interactive users; this catalogue additionally includes unmount visibility as a threat-detection enhancement.,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,code_block
24-04,24,Mounting Filesystems,Mounts,-w /usr/bin/umount -p x -k mounts,mounts,CIS canonical control focuses on successful `mount` syscalls by interactive users; this catalogue additionally includes unmount visibility as a threat-detection enhancement.,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,code_block
24-05,24,Mounting Filesystems,Export,"-a always,exit -F arch=b32 -S mount,mount_setattr -F auid>=1000 -F auid!=unset -F key=export",export,,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,stig_canonical
24-06,24,Mounting Filesystems,Export,"-a always,exit -F arch=b64 -S mount,mount_setattr -F auid>=1000 -F auid!=unset -F key=export",export,,6.3.3.10 — ensure successful filesystem mounts are collected.,RHEL-09-654180 — audit `/usr/bin/mount`; `30-stig.rules` also audits mount-related syscalls with key `export`.,,stig_canonical
25-01,25,Removable Media,Removable Media,-w /media/ -p wa -k removable_media,removable_media,,,,,code_block
25-02,25,Removable Media,Removable Media,-w /run/media/ -p wa -k removable_media,removable_media,,,,,code_block
26-01,26,Cron Configuration,Scheduled Tasks,-w /etc/crontab -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-02,26,Cron Configuration,Scheduled Tasks,-w /etc/cron.d/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-03,26,Cron Configuration,Scheduled Tasks,-w /etc/cron.hourly/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-04,26,Cron Configuration,Scheduled Tasks,-w /etc/cron.daily/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-05,26,Cron Configuration,Scheduled Tasks,-w /etc/cron.weekly/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-06,26,Cron Configuration,Scheduled Tasks,-w /etc/cron.monthly/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-07,26,Cron Configuration,Scheduled Tasks,-w /var/spool/cron/ -p wa -k scheduled_tasks,scheduled_tasks,,,RHEL-09-654097 — audit changes to `/etc/cron.d/` and `/var/spool/cron/`.,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,code_block
26-08,26,Cron Configuration,Cronjobs,-w /etc/cron.d/ -p wa -k cronjobs,cronjobs,RHEL-09-654097,,RHEL-09-654097,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,stig_canonical
